Open,High,Low,Close,Volume,Adj Close
142.440002,142.679993,141.850006,142.270004,17245200,142.270004
141.220001,142.919998,141.160004,142.440002,23251100,142.440002
141.880005,142,140.449997,140.679993,17271300,140.679993
141.410004,142.039993,141.110001,141.199997,14660800,141.199997
141.479996,141.880005,140.869995,141.830002,16424000,141.830002
141.910004,142.380005,141.050003,141.050003,17652900,141.050003
141.600006,142.149994,141.009995,141.800003,20238900,141.800003
142.940002,143.350006,140.059998,141.630005,30275300,141.630005
143.600006,143.880005,142.899994,143.169998,18473000,143.169998
143.729996,144.179993,143.270004,143.339996,16621300,143.339996
144.289993,144.520004,143.449997,143.660004,21118000,143.660004
144.220001,145.460007,143.809998,144.020004,27481500,144.020004
143.25,144.889999,143.169998,144.770004,19765700,144.770004
143.710007,144.119995,143.050003,143.699997,19985700,143.699997
143.720001,144.270004,143.009995,143.660004,19661700,143.660004
144.190002,144.5,143.5,143.929993,21207300,143.929993
143.679993,144.490005,143.190002,144.119995,29190000,144.119995
140.910004,144.039993,140.619995,143.800003,33374800,143.800003
139.389999,141.220001,138.619995,140.880005,23575100,140.880005
141.5,141.740005,140.350006,140.639999,22395600,140.639999
141.259995,141.580002,140.610001,140.919998,20346300,140.919998
139.850006,141.600006,139.759995,141.419998,25860200,141.419998
142.110001,142.800003,139.729996,139.839996,39529900,139.839996
140.399994,141.5,140.229996,141.460007,21542000,141.460007
141,141,139.889999,139.990005,43885000,139.990005
140.720001,141.020004,140.259995,140.690002,19232000,140.690002
139.410004,140.75,139.029999,140.460007,25691800,140.460007
139.300003,139.649994,138.839996,138.990005,15309100,138.990005
138.850006,139.429993,138.820007,139.199997,17421700,139.199997
139.25,139.360001,138.639999,139.139999,19612800,139.139999
138.740005,138.789993,137.050003,138.679993,22155900,138.679993
138.949997,139.800003,138.820007,139,18707200,139
139.059998,139.979996,138.789993,139.520004,17446300,139.520004
139.369995,139.770004,138.600006,139.339996,21750000,139.339996
138.779999,139.830002,138.589996,139.779999,21108100,139.779999
140,140.279999,138.759995,138.960007,26211000,138.960007
137.889999,140.149994,137.600006,139.789993,36414600,139.789993
137.080002,137.440002,136.699997,136.990005,23482900,136.990005
137.139999,137.440002,136.279999,136.929993,20257400,136.929993
135.910004,136.660004,135.279999,136.660004,21776600,136.660004
137.380005,137.479996,136.300003,136.529999,20788200,136.529999
136.429993,137.119995,136.110001,137.110001,20836900,137.110001
136.229996,136.75,135.979996,136.699997,24507200,136.699997
135.100006,135.830002,135.100006,135.720001,22198200,135.720001
135.669998,135.899994,134.839996,135.350006,22584600,135.350006
135.520004,136.270004,134.619995,135.509995,35623100,135.509995
133.470001,135.089996,133.25,135.020004,33226200,135.020004
133.080002,133.820007,132.75,133.289993,23035400,133.289993
132.460007,132.940002,132.050003,132.119995,20065500,132.119995
131.649994,132.449997,131.119995,132.419998,28349900,132.419998
131.350006,132.220001,131.220001,132.039993,23004100,131.469994
130.539993,132.089996,130.449997,131.529999,38183800,130.962201
129.130005,130.5,128.899994,130.289993,26845900,129.727549
128.309998,129.190002,128.160004,129.080002,24507300,128.522781
127.980003,129.389999,127.779999,128.529999,33710400,127.975152
127.029999,130.490005,127.010002,128.75,111985000,128.194203
121.150002,121.389999,120.620003,121.349998,49201000,120.826147
120.93,121.629997,120.660004,121.629997,30377500,121.104937
122.139999,122.349998,121.599998,121.949997,20562900,121.423555
121.669998,122.440002,121.599998,121.940002,26337600,121.413604
120.419998,122.099998,120.279999,121.879997,32377600,121.353858
119.550003,120.099998,119.5,119.970001,23211000,119.452107
120,120.809998,119.769997,120.080002,22050200,119.561633
120.449997,120.449997,119.730003,120,32597900,119.481976
119.400002,120.089996,119.370003,119.779999,25597300,119.262925
120,120.5,119.709999,119.989998,23713000,119.472017
118.339996,120.239998,118.220001,120,34439800,119.481976
119.110001,119.620003,118.809998,119.040001,26111900,118.526121
118.900002,119.300003,118.209999,119.25,27086200,118.735214
118.739998,119.93,118.599998,119.75,27588600,119.233055
118.769997,119.379997,118.300003,119.110001,24462100,118.595819
117.949997,119.43,117.940002,118.989998,33561900,118.476334
116.779999,118.160004,116.470001,117.910004,31751900,117.401002
115.919998,116.860001,115.809998,116.610001,22193600,116.106611
115.849998,116.510002,115.75,116.019997,21118100,115.519154
115.800003,116.330002,114.760002,116.150002,28781900,115.648597
116.650002,117.199997,115.43,115.82,30586300,115.32002
116.449997,117.110001,116.400002,116.730003,15039500,116.226096
117.519997,118.019997,116.199997,116.760002,20905900,116.255965
116.519997,117.800003,116.489998,117.260002,18296900,116.753806
115.589996,116.519997,115.589996,116.519997,14181200,116.016995
116.349998,116.510002,115.639999,116.290001,26085900,115.787993
116.800003,117.400002,116.779999,117.059998,23783200,116.554665
116.739998,117.5,116.68,116.949997,21425000,116.445139
115.800003,117.379997,115.75,116.639999,27779400,116.13648
116.470001,116.5,115.650002,115.970001,44351100,115.469374
115.379997,116.730003,115.230003,115.82,46524500,115.32002
115.040001,116.199997,114.980003,115.190002,34031800,114.692743
113.839996,115.919998,113.75,115.190002,43733800,114.692743
113.290001,115,112.489998,113.300003,26374400,112.810902
112.309998,114.699997,112.309998,113.949997,34402600,113.45809
110.860001,112.43,110.599998,112.120003,27068300,111.635996
109.260002,111.190002,109.160004,111.029999,29998700,110.550697
109.5,110.360001,109.190002,109.949997,26195500,109.475358
110,110.029999,108.25,109.110001,34324500,108.638987
109.169998,110.089996,108.849998,109.900002,26528000,109.425578
110.370003,110.940002,109.029999,109.489998,37086900,109.017344
111.599998,112.199997,110.269997,110.519997,36162300,110.042897
110.779999,112.029999,110.07,111.459999,28528800,110.978841
111.43,112.470001,111.389999,111.57,27194000,111.088367
111.129997,111.870003,110.949997,111.790001,11475900,111.307418
111.360001,111.510002,110.330002,111.230003,27426400,110.749838
111.949997,112.419998,111.400002,111.800003,25965500,111.317377
110.120003,111.989998,110.010002,111.730003,29264600,111.24768
109.720001,110.540001,109.660004,110.059998,28428900,109.584883
109.809998,110.349998,108.830002,109.949997,27632000,109.475358
106.699997,110.230003,106.599998,109.989998,58840500,109.515186
106.57,107.68,106.160004,107.110001,32264500,106.647621
107.709999,107.809998,104.080002,105.709999,51175500,105.253663
107.120003,108.870003,106.550003,108.43,34094100,107.961922
111.089996,111.089996,105.830002,107.790001,57134500,107.324686
109.879997,111.32,108.050003,110.879997,59176400,110.401343
110.309998,111.720001,109.699997,111.059998,24054500,110.580566
110.080002,110.510002,109.459999,110.410004,32560000,109.933378
108.529999,110.25,108.110001,108.839996,30837000,108.370149
110.980003,111.459999,109.550003,109.830002,26932600,109.35588
111.400002,112.349998,111.230003,111.589996,28331700,110.540737
113.459999,113.769997,110.529999,111.489998,43825800,110.441678
113.650002,114.230003,113.199997,113.540001,26419400,112.472406
113.870003,115.209999,113.449997,113.720001,37861700,112.650713
115.389999,115.860001,114.099998,114.480003,34562000,113.403569
114.309998,115.699997,113.309998,115.589996,66134200,114.503125
117.949997,118.360001,117.309998,118.25,48129000,117.138118
117.099998,117.739998,117,117.650002,23538700,116.543761
116.809998,116.910004,116.279999,116.599998,23192700,115.503631
116.860001,117.379997,116.330002,117.059998,24125800,115.959304
117.25,117.760002,113.800003,117.120003,20034600,116.018745
118.18,118.209999,117.449997,117.470001,24553500,116.365453
117.330002,117.839996,116.779999,117.550003,23624900,116.444703
117.879997,118.169998,117.129997,117.629997,35652200,116.523945
116.790001,117.440002,115.720001,116.980003,35192400,115.880062
117.349998,117.980003,116.75,117.339996,37586800,116.23667
117.699997,118.690002,116.199997,116.300003,64041000,115.206456
115.019997,116.75,114.720001,116.050003,36236000,114.958807
114.309998,114.559998,113.510002,114.059998,24358400,112.987513
113.699997,114.339996,113.129997,113.889999,28779300,112.819113
113.400002,113.660004,112.690002,113.050003,21453100,111.987015
113.059998,114.309998,112.629997,113,29736800,111.937482
112.709999,113.050003,112.279999,112.519997,21701800,111.461992
112.459999,113.370003,111.800003,113.050003,36379100,111.987015
113.160004,113.800003,111.800003,112.18,35887000,111.125193
113.690002,114.639999,113.43,113.949997,29641100,112.878547
113,113.18,112.339996,113.089996,24607400,112.026632
111.639999,113.389999,111.550003,112.879997,29869400,111.818608
114.419998,114.790001,111.550003,112.709999,52481200,111.650208
114.349998,114.940002,114,114.620003,31074000,113.542252
113.849998,113.989998,112.440002,113.550003,36003200,112.482314
113.050003,114.120003,112.510002,113.57,34514300,112.502122
115.190002,116.18,113.25,113.580002,47023000,112.51203
115.120003,116.129997,114.040001,114.919998,79886900,113.839427
113.860001,115.730003,113.489998,115.57,89983600,114.483317
108.730003,113.029999,108.599998,111.769997,110888700,110.719044
107.510002,108.790001,107.239998,107.949997,62176200,106.934963
102.650002,105.720001,102.529999,105.440002,45292800,104.44857
104.639999,105.720001,103.129997,103.129997,46557000,102.160285
107.25,107.269997,105.239998,105.519997,53002000,104.527812
107.830002,108.760002,107.07,108.360001,42364300,107.341112
107.900002,108.300003,107.510002,107.699997,26880400,106.687314
107.699997,108,106.82,107.730003,26802500,106.717038
106.139999,106.800003,105.620003,106.730003,26701500,105.726441
105.660004,106.57,105.639999,106.099998,29662400,105.10236
105.800003,106.5,105.5,106,24863900,105.003302
106.620003,107.440002,106.290001,106.82,24970300,105.815591
107.410004,107.949997,106.309998,106.940002,27766300,105.934466
107.389999,107.879997,106.68,107.57,25086200,106.558539
108.57,108.75,107.68,108.029999,23675100,107.014213
108.589996,109.32,108.529999,108.849998,21257700,107.826502
108.860001,109.099998,107.849998,108.510002,25820200,107.489703
108.769997,109.690002,108.360001,109.360001,25368100,108.331709
109.230003,109.599998,109.019997,109.080002,21984700,108.054343
109.099998,109.370003,108.339996,109.220001,25356000,108.193026
109.629997,110.230003,109.209999,109.379997,33794400,108.351518
108.139999,109.540001,108.080002,109.480003,25868200,108.450584
107.779999,108.440002,107.779999,108.18,18660400,107.162804
108.519997,108.93,107.849998,107.93,27484500,106.915155
108.709999,108.900002,107.760002,108,24008500,106.984496
108.230003,108.940002,108.010002,108.809998,26315200,107.786878
107.519997,108.370003,107.160004,108.370003,28037200,107.35102
106.269997,107.650002,106.18,107.480003,40553400,106.469389
105.580002,106,105.279999,105.870003,27408700,104.874527
104.809998,105.839996,104.769997,105.790001,30202600,104.230638
106.050003,106.07,104,104.480003,33816600,102.93995
104.410004,106.150002,104.410004,106.050003,38167900,104.486808
104.190002,104.550003,103.68,104.209999,27733700,102.673926
102.830002,104.449997,102.82,104.339996,39869800,102.802007
104.269997,104.349998,102.75,102.949997,92344800,101.432497
96.82,97.970001,96.419998,96.669998,56239800,95.245066
98.25,98.839996,96.919998,97.339996,40382900,95.905188
99.260002,99.300003,98.309998,98.660004,28313700,97.205739
99.830002,101,99.129997,99.43,32702000,97.964385
100,100.459999,99.739998,99.959999,26276000,98.486572
99.559998,100,99.339996,99.870003,23779900,98.397902
98.699997,100.129997,98.599998,99.830002,36493900,98.358491
98.919998,99.300003,98.5,98.779999,30137000,97.323965
97.389999,98.989998,97.32,98.790001,38919000,97.33382
97.410004,97.669998,96.839996,96.870003,25892200,95.442123
97.169998,97.699997,97.120003,97.419998,24167500,95.984011
96.75,97.650002,96.730003,96.980003,23794900,95.550502
96.489998,96.889999,96.050003,96.68,28912100,95.254921
95.699997,96.5,95.620003,95.940002,25139600,94.525831
94.599998,95.660004,94.370003,95.529999,30949100,94.12187
95.389999,95.400002,94.459999,94.989998,27705200,93.589829
95.489998,96.470001,95.330002,95.889999,26026500,94.476565
94.440002,95.769997,94.300003,95.599998,35836400,94.190838
93.970001,94.550003,93.629997,94.400002,36531000,93.00853
92.900002,93.660004,92.139999,93.589996,40444900,92.210464
93,93.050003,91.5,92.040001,45489600,90.683316
92.910004,94.660004,92.650002,93.400002,75311400,92.02327
95.940002,96.290001,95.25,96.099998,32240200,94.683468
96.25,96.889999,95.349998,95.550003,29219100,94.14158
94.940002,96.349998,94.68,95.910004,35546400,94.496274
96,96.57,95.029999,95.099998,34411900,93.698208
96.620003,96.650002,95.300003,95.330002,61008200,93.924821
96.449997,97.75,96.07,97.550003,31326800,96.1121
97.82,98.410004,97.029999,97.139999,29445200,95.708139
97.32,98.480003,96.75,97.459999,31931900,96.023422
98.690002,99.120003,97.099998,97.339996,38020500,95.905188
98.529999,99.349998,98.480003,98.830002,31712900,97.373231
98.5,99.989998,98.459999,99.650002,26601400,98.181144
99.019997,99.559998,98.68,98.940002,20848100,97.48161
99.25,99.870003,98.959999,99.029999,22409500,97.57028
97.989998,101.889999,97.550003,98.629997,23292500,97.176174
97.790001,98.269997,97.449997,97.919998,28062900,96.476641
97.599998,97.839996,96.629997,97.720001,40191600,96.279592
99.019997,99.540001,98.330002,98.459999,29173300,97.008682
99.599998,100.400002,98.82,99.860001,42307200,98.388047
99.440002,100.470001,99.25,100.349998,36229500,98.870823
99.68,100.730003,98.639999,100.410004,56331200,98.929943
98.669998,99.739998,98.110001,99.620003,38168800,98.151587
97.220001,98.089996,96.839996,97.900002,35140200,96.456939
95.870003,97.190002,95.669998,96.43,38018600,95.008606
94.639999,95.43,94.519997,95.220001,32026000,93.816442
94.639999,94.639999,93.57,94.199997,30442100,92.811473
94.160004,95.209999,93.889999,94.559998,42062400,93.166167
94.550003,94.699997,93.010002,93.489998,46916900,92.111939
92.389999,94.389999,91.650002,93.879997,61259800,92.49619
90,91.669998,90,90.519997,44392800,89.185717
92.720001,92.779999,89.470001,90.339996,76314700,89.00837
93.480003,93.57,92.459999,92.510002,28719100,91.146389
93.330002,93.57,92.110001,93.419998,33686800,92.042972
93,93.769997,92.589996,92.790001,32936400,91.422261
93.370003,93.449997,91.849998,92.720001,43458200,91.353293
94,94.07,92.68,93.239998,35890500,91.865625
95.199997,95.900002,93.82,94.190002,41025500,92.240024
94.199997,95.739998,93.68,95.18,56831300,93.209527
93.970001,94.080002,92.400002,93.639999,48160100,91.701408
93.989998,94.720001,92.510002,93.739998,68531500,91.799336
97.610001,97.879997,94.25,94.830002,82242700,92.866774
96,98.709999,95.68,97.82,114602100,95.794871
103.910004,105.300003,103.910004,104.349998,56016200,102.189682
105,105.650002,104.510002,105.080002,28031600,102.904573